endpoint,variant,label,n_total,n_events,cv_c_index,cv_c_lo,cv_c_hi,train_c_index,test_c_index,partial_hazard,p_2y,p_5y,p_10y
OS,base,Clinical only (baseline),578,81,0.725,0.693,0.757,0.774,0.755,0.403,0.996,0.977,0.91
OS,treat,+ Adjuvant therapy,578,81,0.719,0.684,0.753,0.783,0.724,0.394,0.997,0.979,0.908
OS,snf,+ SNF subtype,350,69,0.743,0.689,0.796,0.814,0.738,0.383,0.996,0.973,0.889
OS,snf+treat,+ SNF + Adjuvant therapy,350,69,0.735,0.675,0.796,0.825,0.736,0.418,0.996,0.972,0.872
RFS,base,Clinical only (baseline),575,156,0.725,0.699,0.751,0.777,0.741,0.692,0.952,0.863,0.822
RFS,treat,+ Adjuvant therapy,575,156,0.731,0.71,0.752,0.786,0.766,0.633,0.958,0.878,0.84
RFS,snf,+ SNF subtype,347,124,0.727,0.686,0.769,0.784,0.741,0.772,0.931,0.794,0.747
RFS,snf+treat,+ SNF + Adjuvant therapy,347,124,0.731,0.697,0.766,0.797,0.742,0.637,0.946,0.831,0.789
DMFS,base,Clinical only (baseline),566,141,0.769,0.743,0.795,0.788,0.811,0.773,0.955,0.87,0.829
DMFS,treat,+ Adjuvant therapy,566,141,0.769,0.742,0.797,0.803,0.794,0.749,0.959,0.879,0.84
DMFS,snf,+ SNF subtype,340,114,0.749,0.718,0.78,0.81,0.706,0.907,0.931,0.788,0.738
DMFS,snf+treat,+ SNF + Adjuvant therapy,340,114,0.752,0.723,0.781,0.822,0.692,0.861,0.938,0.803,0.754
